fiscal_year,contracting_agency_name,contracting_office_name,dollars_obligated,funding_office_name,psc_description,psc,vendor_name
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3816.15,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2544.1,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2544.1,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3816.15,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3816.15,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,361.9,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2221.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,989.43,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6.98,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6.98,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6.98,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,480.37,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,23.51,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,173.4,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,146.44,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1728.33,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2117.84,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2552.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4008.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,479.67,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,596.92,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,703.8,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,45.05,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,511.26,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,366.51,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,28122.36,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,256.32,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,20040.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,21052.7,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3030.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,105.1,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6699.25,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6123.04,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,29738.9,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,8142.4,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2372.07,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,12207.62,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,18369.12,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,828.8,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,396.8,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1435.92,DLA TROOP SUPPORT,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",6515,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,15.54,DLA TROOP SUPPORT,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",6515,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,690.45,DLA TROOP SUPPORT,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",6515,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2838.1,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,103.46,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6553.6,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,197.4,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,32.94,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,236.88,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,31.82,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,134.44,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,63.64,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,149.04,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,847.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,522.79,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,5128.1,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,5128.1,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2020Q2,DEFENSE LOGISTICS AGENCY,DLA ENERGY,484.08,DLA ENERGY,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",9130,SOUTH ALABAMA REGIONAL AIRPORT AUTHORITY
FY2020Q2,DEFENSE LOGISTICS AGENCY,DLA ENERGY,343.64,DLA ENERGY,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",9130,SOUTH ALABAMA REGIONAL AIRPORT AUTHORITY
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,294.64,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,441.84,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,435.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,0.01,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,204.72,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,10985.4,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2115.12,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DCSO FEDMALL,66.2,DCSO FEDMALL,"HARDWARE, COMMERCIAL",5340,THE OFFICE GROUP INC
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,16.8,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,156740.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,15262.63,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3581.58,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,71304.48,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7524.66,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,167.68,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,68284.32,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,273.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,18570.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,10.54,DLA TROOP SUPPORT,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",6515,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7252.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,5377.6,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,50526.48,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,39897.76,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,11133.2,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,128.12,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,16087.5,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1087.19,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,22.35,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,48.7,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,33.4,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1345.36,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,128.12,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,11.05,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,531.86,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,331.88,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,639.04,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,340.49,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4885.44,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,714.5,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,103.29,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,108.05,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1198.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,14884.28,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,9.19,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,189.45,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,440.52,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,14.58,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1600.59,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,549.12,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,30.56,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,337.58,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,425.71,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,353.68,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,247.4,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,247.47,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,797.59,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,797.59,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1072.48,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,797.59,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,797.59,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,797.59,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"STERN PRODUCE COMPANY, INC."
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7396.73,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,477.43,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,148.21,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1.24,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,196.65,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,239.78,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,70.2,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,590.32,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4519.02,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2089.31,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,57.75,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1523.58,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,512.48,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7.7,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,DMS PHARMACEUTICAL GROUP INC.
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,258.33,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
